gene_id,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_GC_Rep1_M33
ENSMUSG00000003541,1622,1211
ENSMUSG00000003545,525,233
ENSMUSG00000003546,1607,1215
ENSMUSG00000003549,413,346
ENSMUSG00000003555,5,0
ENSMUSG00000003559,1117,834
ENSMUSG00000003573,1057,1013
ENSMUSG00000003575,2406,1964
ENSMUSG00000003581,561,434
ENSMUSG00000003585,1315,961
ENSMUSG00000003604,342,293
ENSMUSG00000003617,7962,7391
ENSMUSG00000003623,3721,2423
ENSMUSG00000003644,1039,939
ENSMUSG00000003657,4501,3630
ENSMUSG00000003660,14299,12296
ENSMUSG00000003662,1438,1263
ENSMUSG00000003665,9,14
ENSMUSG00000003680,600,586
ENSMUSG00000003721,2248,1695
ENSMUSG00000003731,5813,4484
ENSMUSG00000003746,1914,1674
ENSMUSG00000003752,1279,1035
ENSMUSG00000003762,426,375
ENSMUSG00000003778,3441,2460
ENSMUSG00000003779,341,244
ENSMUSG00000003808,1193,918
ENSMUSG00000003809,554,448
ENSMUSG00000003810,6423,5058
ENSMUSG00000003812,397,383
ENSMUSG00000003813,2847,2528
ENSMUSG00000003814,17266,16045
ENSMUSG00000003824,115,75
ENSMUSG00000003847,9974,7399
ENSMUSG00000003848,585,490
ENSMUSG00000003849,961,807
ENSMUSG00000003863,1707,1331
ENSMUSG00000003865,1997,1406
ENSMUSG00000003868,1278,1164
ENSMUSG00000003872,58,33
ENSMUSG00000003873,612,625
ENSMUSG00000003882,26,28
ENSMUSG00000003923,915,763
ENSMUSG00000003929,1450,1087
ENSMUSG00000003934,395,365
ENSMUSG00000003948,2904,2176
ENSMUSG00000003949,13125,10759
ENSMUSG00000003955,934,706
ENSMUSG00000003970,16197,16558
ENSMUSG00000003974,85,56
ENSMUSG00000003992,3597,2913
ENSMUSG00000004018,225,164
ENSMUSG00000004031,509,415
ENSMUSG00000004032,1130,1109
ENSMUSG00000004035,256,249
ENSMUSG00000004038,0,0
ENSMUSG00000004040,5362,4336
ENSMUSG00000004043,507,423
ENSMUSG00000004044,8502,8454
ENSMUSG00000004054,1670,1342
ENSMUSG00000004056,4092,3492
ENSMUSG00000004069,2507,2152
ENSMUSG00000004070,1289,1134
ENSMUSG00000004071,4287,3814
ENSMUSG00000004085,5318,3476
ENSMUSG00000004096,2064,1658
ENSMUSG00000004098,563,542
ENSMUSG00000004099,3987,3107
ENSMUSG00000004100,582,450
ENSMUSG00000004105,1751,2132
ENSMUSG00000004110,444,278
ENSMUSG00000004113,1123,767
ENSMUSG00000004127,185,121
ENSMUSG00000004151,771,606
ENSMUSG00000004187,793,481
ENSMUSG00000004207,43575,36864
ENSMUSG00000004221,2747,1986
ENSMUSG00000004231,22,11
ENSMUSG00000004233,462,386
ENSMUSG00000004263,7119,6312
ENSMUSG00000004264,2236,1697
ENSMUSG00000004266,443,390
ENSMUSG00000004267,10760,8714
ENSMUSG00000004268,1182,999
ENSMUSG00000004270,1570,1200
ENSMUSG00000004285,1556,1440
ENSMUSG00000004296,15,1
ENSMUSG00000004317,1128,953
ENSMUSG00000004319,10394,8277
ENSMUSG00000004328,193,183
ENSMUSG00000004341,0,0
ENSMUSG00000004344,0,0
ENSMUSG00000004347,2997,2378
